title,layout,filename,order,featured,content
Content Auditing Dashboard,article,specific-tag-cropped.gif,1,true,"These gifs show portions of a content auditing dashboard prototype I created using Amazon Quicksight. The dashboard allows you to search for content based on taxonomy tags as well as terms that appear in the content URL. It’s intended to help strategists find gaps and inconsistencies in their catalog, so they can be corrected. 

![Dashboard search 1]({{ '/assets/images/artifacts/originals/specific-tag-cropped.gif' | relative_url }})

![Dashboard search 2]({{ '/assets/images/artifacts/originals/search-cropped.gif' | relative_url }})

![Dashboard search 3]({{ '/assets/images/artifacts/originals/trends-cropped.gif' | relative_url }})"
Navigation Model,article,nav-model.png,2,true,"This diagram maps the pathways a user might take to find a specific product on Funko.com. In this scenario, Jill wants to discover Hermione Granger figurines but isn’t sure how to spell her name. She can search using terms like ‘Harry Potter’ or browse through characters or product categories. The flow highlights her journey and shows how different navigation options support findability and discovery. 

![Navigation model diagram]({{ '/assets/images/artifacts/full/nav-model.webp' | relative_url }})"
Ontology Model,article,ontology.jpg,3,true,"A high-level diagram mapping the core classes and relationships in our client’s Help & Learn content domain. I built the model in RDF, hand-coding it in Turtle (TTL) within VS Code, and then configured it in TopBraid as a proof of concept.

![Pickpen]({{ '/assets/images/artifacts/full/ontology.webp' | relative_url }})"
Personas,article,Persona-sam.png,4,true,"You can read more about the research behind these personas [here]({{ '/case-studies/research-led-metadata/' | relative_url }}).

![Persona 1]({{ '/assets/images/artifacts/full/Persona-alan.webp' | relative_url }})

![Persona 2]({{ '/assets/images/artifacts/full/Persona-sam.webp' | relative_url }})"
Infographic,article,PickPen.png,5,false,"I created this illustration using Adobe Illustrator to help explain how the PickPen works. 

![Pickpen]({{ '/assets/images/artifacts/full/PickPen.webp' | relative_url }})"
Content Pipelines,article,pipelines.jpg,6,true,"A high-level system diagram proposing a new architecture for a client’s content pipelines—supporting both an LLM-based chatbot and a traditional search/filter experience for help content.

The design shifts tagging away from individual authoring platforms (e.g., WordPress) to PoolParty as the central “semantic layer” for taxonomy and metadata management, while introducing a more robust automated tagging capability.

![Pipelines diagram]({{ '/assets/images/artifacts/full/pipelines.webp' | relative_url }})"
Journey Map,article,journey.png,7,false,"This journey map illustrates a typical travel planner’s process — from deciding where to go, to choosing accommodations, to planning activities. The high-level phases originated from earlier research and were refined based on findings from a user study I led.

Unlike a standard journey map, this artifact layers in travelers’ specific information needs at each stage. These needs are especially critical during the mid-journey “research and planning” phases, where our client’s travel app competes head-to-head with other tools. Mapping these needs directly to the journey highlights exactly where the design must deliver clear, relevant, and differentiating content to win engagement.

![Journey map]({{ '/assets/images/artifacts/full/journey.webp' | relative_url }})"
Wireframes,article,wire-after-a.png,8,false,"Slides from a findings & recommendations report

I recommended redesigning intranet page layouts so different page types would have distinct visual structures, helping users quickly recognize where they were and what to expect.  

**Slide 1**: A current-state example with annotated pain points, including a call for layout differentiation. 

![Annotations]({{ '/assets/images/artifacts/full/wire-before-a.webp' | relative_url }})

**Slide 2**: Wireframes for three page types, illustrating how consistent design cues could signal each page’s meaning and purpose.

![Wireframes]({{ '/assets/images/artifacts/full/wire-after-a.webp' | relative_url }})"
Taxonomy Flows,article,taxo-flows.jpg,9,false,"This diagram maps where enterprise taxonomy data is stored and how it flows between systems. It’s a simplified, redacted version of a comprehensive diagram developed for a client. The original was the product of a collaborative team effort to uncover and document the complex connections between enterprise taxonomies and the systems that rely on them.

![Taxonomy flows diagram]({{ '/assets/images/full/artifacts/taxo-flows.webp' | relative_url }})"
User Flows,article,user-flow-1.png,10,false,"I created these wireframes and user flows to illustrate different search scenarios for the Trover app, and how different elements of the information model we developed could be used.

![User flows diagram 1]({{ '/assets/images/artifacts/full/user-flow-1.webp' | relative_url }})

![User flows diagram 2]({{ '/assets/images/artifacts/full/user-flow-2.webp' | relative_url }})"
Infographic,article,taxonomy-changes.jpg,11,false,"This infographic explains common taxonomy changes that must be planned for. My colleague, Bob, wrote a [blog post](https://factorfirm.com/posts/a-taxonomy-of-taxonomy-governance/) to accompany this diagram.

![Taxonomy changes infographic]({{ '/assets/images/artifacts/full/taxonomy-changes.webp' | relative_url }})"
Presentation,article,slide.png,12,false,"In 2023, I co-presented this deck with Jennifer Long at the Taxonomy Bootcamp conference. I was responsible for designing the deck and developing most of its content.

<a href=""{{ '/assets/docs/presentation.pdf' | relative_url }}"" target=""_blank"" rel=""noopener noreferrer"">View full presentation (PDF)</a>.

![Example slide]({{ '/assets/images/artifacts/full/slide.webp' | relative_url }})"
Brand/logo Design,article,Styles.png,13,false,"This is a logo and style guide I designed for my husband’s vending machine company.

![Brand/logo style guide]({{ '/assets/images/artifacts/full/Styles.webp' | relative_url }})"
Content Ecosystem Diagram,article,topology.png,14,false,"An early iteration of what became a living set of content architecture diagrams for a long-term client. With each new project, we refined our understanding of the underlying systems, captured changes in the architecture, and maintained an up-to-date version. These diagrams became essential for onboarding new team members, aligning stakeholders, and scoping future work. 

![Content ecosystem diagram]({{ '/assets/images/artifacts/full/topology.webp' | relative_url }})"
Conference Poster,article,conference-poster.png,15,false,"Collaborating with colleagues at Factor, I helped develop this maturity model, then designed the accompanying poster and presented it at the 2020 IA Conference.

![Content ecosystem diagram]({{ '/assets/images/artifacts/full/conference-poster.webp' | relative_url }})"
